Condición,Banda,Media,SD,Min,Max,N
DMT,Delta,0.5186861838828988,0.02045615939765328,0.49585333980038415,0.5454869359154485,3
DMT,Theta,0.48968255376117037,0.02054843137954558,0.4706357333292864,0.5182130947920596,3
DMT,Alpha,0.48498836076730606,0.018145953036906866,0.46596711500532617,0.5094173473210725,3
DMT,Beta,0.4734127076994717,0.021945216298298435,0.45727640734115593,0.5044395955536046,3
DMT,Gamma,0.4666413414151093,0.020759416905810537,0.45127808376371825,0.4959887917381912,3
EC,Delta,0.4592816772426385,0.0032732934504498285,0.4547776024165803,0.4624592725901525,3
EC,Theta,0.4316049149497556,0.00835558565403783,0.42487642231309575,0.44338160785405295,3
EC,Alpha,0.43320703908709496,0.009327238902953353,0.42581917512194417,0.4463646214147258,3
EC,Beta,0.41888195595126376,0.010286299262212075,0.4105037206204979,0.43336989919650803,3
EC,Gamma,0.41114559121017275,0.008016426727026781,0.4029779561924414,0.4220383697166893,3
EO,Delta,0.5360722706676457,0.011074403147178707,0.5266927142778074,0.5516239800466014,3
EO,Theta,0.49495851996064766,0.006174103089897076,0.486539579095658,0.5011730837777184,3
EO,Alpha,0.4914146940581863,0.00727624513896723,0.48112609653255656,0.4967145103448416,3
EO,Beta,0.48565044435051746,0.007758114095045742,0.47694005161536634,0.49578312245905864,3
EO,Gamma,0.4732545498730367,0.007689520391357986,0.4639350189611725,0.48276744251262793,3
