graph_idx,class,label,subject,num_nodes,num_edges,node_feat_mean,node_feat_std,node_feat_min,node_feat_max
0,EC,1,S01-EC,24,552,15.577296,152.67491,-1.2827327,2120.0645
1,DMT,0,S21-DMT,24,552,8.237536,30.913902,-1.2577429,293.97864
2,DMT,0,S22-DMT,24,552,2.7145216,5.8042865,-1.5842202,43.188473
3,DMT,0,S07-DMT,24,552,2.2026532,3.837935,-1.649584,26.887405
4,DMT,0,S22-DMT,24,552,13.319615,55.835022,-1.280308,608.41266
5,EO,2,S30-EO,24,552,8.65271,67.30111,-1.5436456,924.91254
6,EC,1,S01-EC,24,552,26.000725,126.97366,-1.2267952,1510.8109
7,EO,2,S16-EO,24,552,7.514898,38.279984,-1.3592436,453.18173
8,EO,2,S26-EO,24,552,24.590818,152.4182,-1.2597098,2029.091
9,EO,2,S28-EO,24,552,22.87562,98.88198,-1.2359418,1086.853
10,DMT,0,S33-DMT,24,552,6.0919566,21.929306,-1.3541586,263.26602
11,EC,1,S21-EC,24,552,28.974714,171.2339,-1.266864,2135.3584
12,DMT,0,S22-DMT,24,552,39.406647,347.4065,-1.2416162,4736.997
13,EC,1,S07-EC,24,552,13.238265,69.356186,-1.376369,783.4191
14,DMT,0,S27-DMT,24,552,14.500499,69.13813,-1.2612686,784.70105
15,EO,2,S28-EO,24,552,30.195854,175.19133,-1.2866439,1845.5714
16,DMT,0,S22-DMT,24,552,31.91443,193.13222,-1.2616438,2490.6985
17,DMT,0,S01-DMT,24,552,8.062982,40.58474,-1.2869709,516.9454
18,DMT,0,S18-DMT,24,552,74.78395,881.44135,-1.2584388,12234.771
19,EC,1,S31-EC,24,552,19.573854,81.25988,-1.2689081,688.09973
20,EO,2,S31-EO,24,552,19.256348,94.146,-1.2525327,982.3955
21,EC,1,S10-EC,24,552,15.081843,72.1005,-1.282123,765.73145
22,EC,1,S22-EC,24,552,41.36636,193.0017,-1.2400092,1904.1953
23,EO,2,S02-EO,24,552,35.932205,204.41864,-1.2412806,2354.426
24,EO,2,S35-EO,24,552,7.921517,20.367466,-1.2490836,122.168625
25,EC,1,S22-EC,24,552,8.998923,60.62071,-1.2992363,819.5423
26,DMT,0,S15-DMT,24,552,23.307676,131.3692,-1.2803146,1228.2598
27,EO,2,S07-EO,24,552,24.771067,82.20377,-1.2410318,644.0444
28,EO,2,S08-EO-ICA-prune.set,24,552,36.009186,371.0538,-1.268162,5146.773
29,DMT,0,S30-DMT,24,552,2.2295818,4.212471,-1.4748776,27.800014
30,EO,2,S29-EO,24,552,12.828803,48.840305,-1.2565213,418.6649
31,EO,2,S28-EO,24,552,15.974617,77.32264,-1.234068,982.6328
32,DMT,0,S12-DMT,24,552,10.706372,37.86096,-1.2938771,408.30902
33,EC,1,S31-EC,24,552,23.07013,138.23392,-1.2465228,1784.6421
34,DMT,0,S08-DMT,24,552,95.43814,678.5837,-1.2287303,6875.18
35,EO,2,S28-EO,24,552,38.720753,239.44795,-1.2415707,2953.6013
36,EO,2,S30-EO,24,552,12.847791,43.468033,-1.2622019,371.09827
37,DMT,0,S22-DMT,24,552,8.055394,52.81559,-1.5183018,710.78015
38,EC,1,S05-EC,24,552,23.189112,102.81287,-1.2501799,1223.4337
39,DMT,0,S18-DMT,24,552,50.439495,595.4474,-1.2633839,8272.896
40,EC,1,S11-EC,24,552,25.984575,210.65047,-1.3243568,2542.8823
