feature,group,count,mean,std,min,max,median,q25,q75,skewness,kurtosis,pct_zeros
feat_0,ALL,1567320,0.00024207104,0.1736815869808197,-1.7340832948684692,1.8457446098327637,0.00018051326333079487,-0.04240493290126324,0.04290803521871567,-0.01020928218928848,10.532292757001615,0.0
feat_0,DMT,619920,0.000252241,0.1718922108411789,-1.7015948295593262,1.6391654014587402,0.00020941317779943347,,,-0.028427643997819187,,
feat_0,EC,508440,0.00056755653,0.17885352671146393,-1.627230167388916,1.6690492630004883,0.00031037151347845793,,,0.011356244143900275,,
feat_0,EO,438960,-0.00014929575,0.17078660428524017,-1.7340832948684692,1.8457446098327637,-3.0171275284374133e-05,,,-0.013277711672474747,,
feat_1,ALL,1567320,1.803088,0.08105545490980148,0.4388003647327423,2.4631927013397217,1.810935616493225,1.7887479066848755,1.830309897661209,-1.2495935317015314,8.718420518762864,0.0
feat_1,DMT,619920,1.8037448,0.08093549311161041,0.7968865036964417,2.4631927013397217,1.8110194206237793,,,-1.1295072605973686,,
feat_1,EC,508440,1.8021129,0.0812966451048851,0.4388003647327423,2.4615437984466553,1.8109114170074463,,,-1.4049639967193468,,
feat_1,EO,438960,1.8032892,0.07831911742687225,0.8328137993812561,2.428062677383423,1.810846209526062,,,-1.2333288632487367,,
feat_2,ALL,1567320,2.89626e-06,2.03955642064102e-06,2.352763317503559e-07,0.000112567373435013,2.3986840460565872e-06,1.6490064638219337e-06,3.4836324402931496e-06,4.421307245682478,75.98991041337753,0.0
feat_2,DMT,619920,2.7569336e-06,2.0095785657758825e-06,3.991144978954253e-07,0.000112567373435013,2.2826125132269226e-06,,,7.148403367447,,
feat_2,EC,508440,3.3387153e-06,2.270307049911935e-06,4.46326367864458e-07,3.420930806896649e-05,2.781940338536515e-06,,,2.351087711948216,,
feat_2,EO,438960,2.580534e-06,1.685052779976104e-06,2.352763317503559e-07,5.4443302360596135e-05,2.1996397663315292e-06,,,3.6378241855922804,,
feat_3,ALL,1567320,1.460669e-06,1.0495230071683181e-06,1.0508685477361723e-07,8.627694478491321e-05,1.2023219824186526e-06,8.21711381604473e-07,1.7713778106553946e-06,5.902008013680462,163.65239898751315,0.0
feat_3,DMT,619920,1.400442e-06,1.102504825212236e-06,2.0191725980112096e-07,8.627694478491321e-05,1.1436072782089468e-06,,,9.682396555684477,,
feat_3,EC,508440,1.6553533e-06,1.0877930662900326e-06,1.7177217159769498e-07,2.663003033376299e-05,1.3878275240131188e-06,,,2.248755946126204,,
feat_3,EO,438960,1.3202243e-06,8.833390552354103e-07,1.0508685477361723e-07,3.24641187035013e-05,1.1085813866884564e-06,,,3.694600969450706,,
feat_4,ALL,1567320,2.2807977,0.05286967009305954,1.4584417343139648,2.3025693893432617,2.2998247146606445,2.29209566116333,2.3012428283691406,-3.4737662060915944,16.266139455672004,0.0
feat_4,DMT,619920,2.2805376,0.047310564666986465,1.5113857984542847,2.30255389213562,2.299772024154663,,,-3.347699344140394,,
feat_4,EC,508440,2.2803106,0.04904303327202797,1.5626875162124634,2.3025693893432617,2.2999136447906494,,,-3.5864543366378445,,
feat_4,EO,438960,2.2817307,0.04491650313138962,1.4584417343139648,2.30255389213562,2.299799919128418,,,-3.4713467455908638,,
feat_5,ALL,1567320,-1.1577389,0.18868130445480347,-1.8368911743164062,6.738768577575684,-1.1944351196289062,-1.219909816980362,-1.1580719649791718,5.87313615702303,75.74631926315429,0.0
feat_5,DMT,619920,-1.1589336,0.18359389901161194,-1.8368911743164062,5.526419639587402,-1.1945838928222656,,,5.372168180676688,,
feat_5,EC,508440,-1.1548432,0.20318011939525604,-1.8143799304962158,6.738768577575684,-1.1943787336349487,,,6.461457420983708,,
feat_5,EO,438960,-1.1594061,0.1786310225725174,-1.7894349098205566,5.634406089782715,-1.1942847967147827,,,5.514464621844985,,
feat_6,ALL,1567320,273.89807,6921.38232421875,0.0,1772543.125,42.432044982910156,18.747488021850586,98.06410217285156,143.8234297055924,27294.99449422413,0.0014036699589107522
feat_6,DMT,619920,263.71027,6123.41650390625,0.0,1603931.375,41.83892822265625,,,135.99219563333435,,
feat_6,EC,508440,268.8006,5803.23974609375,0.0,1660091.0,43.583740234375,,,143.8107671658928,,
feat_6,EO,438960,294.19006,8894.6796875,0.0,1772543.125,41.94171905517578,,,133.11185285494838,,
feat_7,ALL,1567320,6.267266,0.05043581873178482,2.541342258453369,6.2831807136535645,6.270111083984375,6.263096809387207,6.275516629219055,-38.72315272739922,2125.20000475999,0.0
feat_7,DMT,619920,6.2674313,0.035538237541913986,3.0568277835845947,6.2831807136535645,6.270168304443359,,,-37.19103305279784,,
feat_7,EC,508440,6.2669587,0.041040245443582535,2.541342258453369,6.28317928314209,6.270051002502441,,,-36.77990581965971,,
feat_7,EO,438960,6.2673864,0.03681504353880882,2.9532699584960938,6.283160209655762,6.270101547241211,,,-42.401471588330814,,
