,ASC Unity,ASC Spiritual,ASC Blissful,ASC Insightfulness,ASC Disembodiment,ASC Impaired,ASC Anxiety,ASC Complex imagery,ASC Elementary imagery,ASC Audiovisual,ASC Changed,NDE Cognition,NDE Affect,NDE Paranormal,NDE Transcendental,MEQ Mystical,MEQ Positive,MEQ Transcendental,MEQ Inefability,MEQ Awe,Post Social,Post Fusion,Post Setting
ASC Unity,1.0,0.5461666317724143,0.7320339497289583,0.675458781276655,0.5822429331870197,0.23150202922598148,0.1091874721843383,0.19216188965660336,0.5015585813317219,0.24663959799179042,0.19456165033584616,0.4370089178705574,0.6472057293060555,0.4109776144527391,0.008484783132486165,0.8811747991325801,0.5230798217399876,0.7793462465625668,0.3821964454856412,0.4841051416089598,0.4986424291268634,0.6661114200636911,0.4552902612087998
ASC Spiritual,0.5461666317724143,1.0,0.49430787650415825,0.5262547637434244,0.5532304066550008,0.2146648337838758,0.06945734132046756,0.1541484376323973,0.18630568433359634,0.18701382507451345,0.25329272664996677,0.2053542397138537,0.47086686626796065,0.33406095036133054,0.35075587558992843,0.6143783700578055,0.35964234617162794,0.37401511022569456,0.2855088620303231,0.46292330061081577,0.44736470599066896,0.6998662892386321,0.38027421407736306
ASC Blissful,0.7320339497289583,0.49430787650415825,1.0,0.6075815187432935,0.32954732608997717,0.022070350163347956,-0.05224716179458504,0.15131775071329723,0.239192069341278,0.1412072140920453,0.27755072233663425,0.3156375822519603,0.6606513194979056,0.37531746421192785,-0.10211345516862565,0.6446220281620684,0.6531072450982673,0.535755798311344,0.19920759795219875,0.3295980368837834,0.4617185615657058,0.6600243149471059,0.3391923169602058
ASC Insightfulness,0.675458781276655,0.5262547637434244,0.6075815187432935,1.0,0.5930570289123187,0.1669588324152628,0.122580472482541,0.318966599932685,0.17382298551889588,0.3528764394757798,0.20539102680459173,0.6407920339890629,0.6598754550715542,0.6981228089745906,0.10584390957458785,0.7528941166730265,0.5162640209735113,0.5509794657356308,0.2341261794521775,0.5513325432721916,0.2799461059682332,0.6867173530238232,0.48167802142945776
ASC Disembodiment,0.5822429331870197,0.5532304066550008,0.32954732608997717,0.5930570289123187,1.0,0.39972754550905026,0.2123369077433156,0.17815181727118748,0.25246452487578525,0.1935452755878085,-0.023030625178485167,0.33530506794121845,0.35502291107424044,0.39779761412588155,-0.1035258770358523,0.6567524130450174,0.2585063480486028,0.6848603123429579,0.26298339444547814,0.30344353873928726,0.3757584396124576,0.5296499770467709,0.5073594854181306
ASC Impaired,0.23150202922598148,0.2146648337838758,0.022070350163347956,0.1669588324152628,0.39972754550905026,1.0,0.8045536860830667,0.5017916203936849,0.03735954320434676,0.3781881645145977,0.5164847523362998,0.2314870774001613,-0.16586560059937985,0.25212761122726607,0.16307879323822463,0.20531693918007748,0.006026301826518364,0.34965696502392946,0.3324035135382565,0.17300593801818076,-0.09171422021803505,0.06280593462973916,0.5033070441892028
ASC Anxiety,0.1091874721843383,0.06945734132046756,-0.05224716179458504,0.122580472482541,0.2123369077433156,0.8045536860830667,1.0,0.5673872821791942,-0.14684857285926944,0.17775513980317403,0.38106207145918625,0.34973442822194634,-0.308715878690195,0.32233142094429157,0.3258072338881048,0.0755172340955129,-0.0989522895773686,0.22270566917998377,0.331770806426587,0.19952615415048036,-0.1207613206764451,0.025807016157612436,0.49130295285045833
ASC Complex imagery,0.19216188965660336,0.1541484376323973,0.15131775071329723,0.318966599932685,0.17815181727118748,0.5017916203936849,0.5673872821791942,1.0,0.03189750750189074,0.14687050472134291,0.5391313823526428,0.40940930800558434,0.09500740443190488,0.49805893542739915,0.3838291180949403,0.21630588796169717,0.20915255601744304,0.2133497334183513,0.3446136644454289,0.3923180391970681,-0.14734380537488254,0.1809446653338243,0.6214735727191955
ASC Elementary imagery,0.5015585813317219,0.18630568433359634,0.239192069341278,0.17382298551889588,0.25246452487578525,0.03735954320434676,-0.14684857285926944,0.03189750750189074,1.0,0.1921593579873355,-0.047297682041592064,0.07596786769580471,0.5572734499932692,0.08816165275611126,-0.06254749761254182,0.4438296168640635,0.3396711992118375,0.4105407439241923,0.30730591336224045,0.08979697001180616,0.18339530925268746,0.2577813091392634,0.12225094939915324
ASC Audiovisual,0.24663959799179042,0.18701382507451345,0.1412072140920453,0.3528764394757798,0.1935452755878085,0.3781881645145977,0.17775513980317403,0.14687050472134291,0.1921593579873355,1.0,0.23564587018321598,0.3593644258794076,0.25631950248730356,0.45656821350865584,-0.004094418689089325,0.3511231637174704,0.4558493794524044,0.3162953751840028,0.25983521164616746,0.2088708624675409,0.1111477572740016,0.28707910460708397,0.3215280581683772
