,Mean,Std,Min,25%,Median,75%,Max,Skewness,Kurtosis,N_valid
ASC Unity,45.241379310344826,26.37728347923346,6.0,21.0,50.0,68.0,89.0,-0.059947859900782295,-1.296575802739656,29
ASC Spiritual,45.03448275862069,12.491376335641348,19.0,33.0,50.0,54.0,63.0,-0.5925719964872046,-1.0141547907237598,29
ASC Blissful,59.93103448275862,20.568580467865402,17.0,42.0,64.0,77.0,89.0,-0.6417624048993977,-0.5974164977836556,29
ASC Insightfulness,43.41379310344828,19.518337973336237,8.0,27.0,41.0,58.0,74.0,-0.041486410663362026,-1.1606075724760436,29
ASC Disembodiment,43.172413793103445,27.937518252492907,0.0,14.0,46.0,61.0,88.0,-0.22463626242707516,-1.1010690922753428,29
ASC Impaired,19.379310344827587,17.682545455705846,1.0,6.0,15.0,26.0,73.0,1.3415760289320866,1.5042304573995824,29
ASC Anxiety,9.827586206896552,14.002726687320685,0.0,1.0,4.0,11.0,52.0,1.8581738072329606,2.8154519804840006,29
ASC Complex imagery,45.3448275862069,18.838175264357226,10.0,31.0,50.0,60.0,73.0,-0.4670056231070521,-1.0391735332238645,29
ASC Elementary imagery,75.55172413793103,19.40468685449941,21.0,78.0,84.0,87.0,90.0,-1.6087129267817546,1.4847108656024637,29
ASC Audiovisual,54.3448275862069,23.1258603887339,6.0,45.0,55.0,75.0,90.0,-0.6269219919164444,-0.4070712824176401,29
ASC Changed,25.482758620689655,22.558844780540344,0.0,11.0,19.0,35.0,78.0,1.0873442919510863,0.4397618666643561,29
NDE Cognition,2.320689655172414,2.0004248317267916,0.0,1.0,2.0,4.0,6.0,0.5283046195801958,-0.86248021681117,29
NDE Affect,5.196551724137931,1.972214628754163,1.0,4.0,5.0,7.0,8.0,-0.47225922178469815,-0.6385500942307747,29
NDE Paranormal,2.648275862068965,1.7917710092960246,0.0,1.0,2.6,4.0,6.0,0.4195947753061875,-0.5916120922424368,29
NDE Transcendental,2.5,2.074505104493944,0.0,1.0,2.0,4.0,8.0,0.8378519608836728,0.3170576546723649,29
MEQ Mystical,2.7027586206896554,1.4270821794129551,0.13,1.47,2.8,3.87,4.67,-0.5169424991994742,-1.1044117895883563,29
MEQ Positive,3.0975862068965516,0.7764049715212773,1.17,3.0,3.17,3.67,4.17,-1.2759191171049986,1.032812298964679,29
MEQ Transcendental,3.384482758620689,1.288885416072176,0.83,2.5,3.83,4.33,5.0,-0.6694255281070794,-0.7012309608880867,29
MEQ Inefability,3.61,1.2415485722044295,1.0,3.33,4.0,4.67,5.0,-0.9558404909264664,-0.22731783360781366,29
MEQ Awe,3.9424137931034484,1.3101462709299017,0.0,3.58,4.25,4.92,5.0,-1.8360742953138462,2.929100168380319,29
Post Social,3.21896551724138,1.0297272344363344,0.42,2.71,3.23,4.06,4.79,-0.553382237353176,0.43522738997043353,29
Post Fusion,2.534137931034483,1.5013054253867086,0.0,1.67,2.67,3.67,5.0,-0.08880807024930538,-0.8543980334567158,29
Post Setting,2.310344827586207,0.7608007189732063,1.0,2.0,2.5,3.0,3.5,-0.14860851587210688,-0.5452935349947565,29
