,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
ASC Unity,-0.2823378703215694,0.13986180790232533,-0.11049999218380824,-0.041744280271836694,-0.034532774402104865,0.23613927428374443,0.08524868419849863,0.04066783848449814,-0.08559879340703436,-0.2064584061139133,0.268160524856107,0.011888144665290834,0.04883411241735294,0.09458900740720137,-0.33888490364523494,0.05819408317804862,-0.2963164348277882,-0.3506964666687448,-0.47933329872228786,-0.16301885753642312,0.07983342102981318,0.08255075930322074,0.29835496034507114
ASC Spiritual,-0.2232798272485383,0.06839770619023156,0.11312715208324246,-0.3596117078841632,-0.21301965724118316,0.007961474218832943,-0.05292072480750195,-0.23777710392350768,0.4424813257133319,0.10475502955142996,-0.12347380184501873,-0.1146392844809665,-0.1311105912303123,0.3707620156707032,-0.06577973845524926,-0.4517876941593812,0.20322142920892092,0.04298795692453236,-0.020863761700447153,-0.012227203906593438,0.15094347655229035,-0.03904166221094116,0.179681628017639
ASC Blissful,-0.23470463251422288,0.18419300177014947,0.09107479291258518,0.05421438497572371,0.01533745511985033,0.1373867771831853,0.449643695445618,-0.31522026946577597,-0.16159774291027718,-0.11862039045675654,-0.021809794158862934,0.06999233052163263,0.23795040767657405,0.2842932283006839,0.21964676118924903,0.10931981572590835,0.06014654320340604,0.19829039393415426,-0.13031150331302727,-0.1305681458283062,0.15201512413704477,-0.1809363616282398,-0.45065403740446847
ASC Insightfulness,-0.27635760771154344,0.04911286069479781,0.1370870901202022,-0.024832920966067373,0.2682191541871014,-0.05024303755519607,0.000671612686641166,0.09385619094627304,0.12376810953052034,0.12742995522556771,-0.0022732902284210215,0.31070410074645144,0.48417606293724613,0.04346146322651811,-0.32737220963934993,-0.010280709725894899,-0.12298695741273727,-0.15830274066130007,0.4539663577961798,0.16939720631801186,0.01555233627712306,-0.26230389588203235,0.05315220112257148
ASC Disembodiment,-0.2233099621853597,0.049721919659685004,-0.3212649276706728,-0.25513041189763874,0.1534957744894637,0.006855960438440531,-0.041463295507138814,0.14060993264395424,0.38062181996413735,0.3287041814633514,-0.12684740143692036,0.014729045175898113,0.014504930932773875,-0.17345597171584756,0.20570527272605088,0.4312175722244137,0.0900156863576295,0.014611487233490383,-0.3578050010920897,0.1237503796208742,-0.07091714647890487,-0.21654670656405728,-0.05381027336649882
ASC Impaired,-0.1233680558731353,-0.3596663706840272,-0.3262364070180231,-0.13114629171811062,0.00525951130757161,0.2642382537944849,-0.13999397258997873,-0.2890096452324145,0.024691709877473583,-0.002590824473522773,-0.0430877565904198,-0.052120592221738045,0.1748223573979754,-0.14727696237366053,-0.07172852214357867,0.21015526212827615,0.08236597073399768,0.03861019294666832,0.2853116141916408,-0.22908421549741348,0.400068434049954,0.38607661818351496,-0.0282187088288786
ASC Anxiety,-0.090762290172304,-0.41947455576879566,-0.20839302214537114,-0.21082652643612038,0.04611428030513647,0.043358361634320206,-0.00810673417614478,-0.01529980313421056,-0.24987694506670127,-0.15719792534488009,0.02196002795734874,-0.15791384206980122,0.4458936235055196,0.04015972371515002,0.22251668766396515,-0.33575852960786146,0.06413346368733175,0.03728980224959534,-0.1682898644836232,0.26300557515806955,-0.36541342364457086,-0.029278812429999433,0.1048341384583645
ASC Complex imagery,-0.1501134207090655,-0.34392255993581433,0.09989339995336174,0.008603299435260846,-0.03736315164390064,0.1661883867152727,0.16908051551690725,0.17178294143027173,-0.35176037901769147,0.27817418488468076,-0.4212357763759782,0.31761075538394273,-0.2728797010125331,0.00041672405574166404,-0.1071094388507238,-0.10927968707415617,0.25781505756067774,-0.307634815432899,-0.11166426146125959,-0.04937776865047987,0.05110452538860781,-0.04921635835099873,-0.06049102546179077
ASC Elementary imagery,-0.12990913888052588,0.17630678350463436,-0.1748283969327972,0.27205139648073307,-0.31140123670458847,0.4173857565260464,-0.34235535854674426,0.31458216304369374,-0.055773307990573104,-0.09622404575239148,-0.30642712492387564,-0.22243576193092413,0.035339580760982946,0.29008869193487613,0.0583481147472262,0.06424222055730959,-0.11354239757333043,0.017338475447789062,0.14755265157351974,0.234051220579432,0.047748082070053426,-0.09783806918407408,-0.09918956087298239
ASC Audiovisual,-0.15272900915255033,-0.07777990406145212,-0.0725576014845881,0.2973422559922674,0.12074990189513221,-0.20018199993312585,-0.6302062160445913,-0.4670925935334354,-0.10408434244188713,0.055671222346808005,0.020367273274212692,0.161520742564089,-0.07882258531917948,0.09207243983237547,-0.10213820839508567,-0.043536994105507584,-0.017020747724807286,-0.030211701118670397,-0.21109865416527193,-0.09530938508171875,-0.11854959650305312,-0.20144952847688383,-0.17325949950092068
